,FileName,Label,Length
0,LA_T_1000137,spoof,2.500375
1,LA_T_1000406,bonafide,2.8505
2,LA_T_1000648,spoof,1.9220625
3,LA_T_1000824,spoof,2.271625
4,LA_T_1001074,spoof,3.7645625
5,LA_T_1001114,spoof,3.32625
6,LA_T_1001169,spoof,2.8655
7,LA_T_1001718,spoof,2.318625
8,LA_T_1001871,spoof,1.9804375
9,LA_T_1002656,spoof,1.8056875
10,LA_T_1003665,spoof,3.3885625
11,LA_T_1004407,spoof,8.473125
12,LA_T_1004631,spoof,4.068
13,LA_T_1004644,spoof,1.9230625
14,LA_T_1005349,spoof,3.9995
15,LA_T_1006715,spoof,2.2709375
16,LA_T_1006969,spoof,2.9121875
17,LA_T_1007217,spoof,4.5564375
18,LA_T_1007283,spoof,1.9074375
19,LA_T_1007408,spoof,3.2555625
20,LA_T_1007571,bonafide,4.136875
21,LA_T_1007615,spoof,5.0740625
22,LA_T_1007663,bonafide,3.6684375
23,LA_T_1007914,spoof,2.0855
24,LA_T_1008492,spoof,1.3956875
25,LA_T_1009193,spoof,2.54425
26,LA_T_1010025,spoof,1.2150625
27,LA_T_1010137,spoof,2.7050625
28,LA_T_1010799,spoof,5.1209375
29,LA_T_1010949,spoof,1.6734375
30,LA_T_1011022,spoof,1.6161875
31,LA_T_1011221,bonafide,6.013125
32,LA_T_1011920,spoof,3.0614375
33,LA_T_1012129,spoof,2.509375
34,LA_T_1012583,spoof,3.417125
35,LA_T_1013068,spoof,4.458125
36,LA_T_1013549,spoof,4.2746875
37,LA_T_1013597,bonafide,3.539125
38,LA_T_1014095,spoof,3.04675
39,LA_T_1014341,spoof,3.4000625
40,LA_T_1015917,spoof,4.7204375
41,LA_T_1016062,spoof,2.9809375
42,LA_T_1016803,spoof,2.230375
43,LA_T_1017036,spoof,3.34
44,LA_T_1017164,spoof,8.8863125
45,LA_T_1017249,spoof,1.75025
46,LA_T_1017386,spoof,2.4183125
47,LA_T_1018227,spoof,2.36825
48,LA_T_1019645,spoof,2.2215
49,LA_T_1021310,spoof,1.00875
50,LA_T_1021749,spoof,2.9526875
51,LA_T_1021789,spoof,0.964875
52,LA_T_1021790,bonafide,3.4959375
53,LA_T_1022109,spoof,1.4579375
54,LA_T_1022551,spoof,3.668375
55,LA_T_1023546,bonafide,3.239875
56,LA_T_1023667,spoof,4.60275
57,LA_T_1024889,spoof,6.22225
58,LA_T_1025067,spoof,8.3514375
59,LA_T_1025399,spoof,4.9861875
60,LA_T_1025525,spoof,5.7465
61,LA_T_1026006,spoof,3.9733125
62,LA_T_1026106,spoof,2.8570625
63,LA_T_1026130,spoof,3.5770625
64,LA_T_1026727,spoof,1.8889375
65,LA_T_1026765,spoof,2.5110625
66,LA_T_1027268,spoof,3.6598125
67,LA_T_1028046,spoof,1.8775625
68,LA_T_1028533,spoof,1.8261875
69,LA_T_1029007,spoof,3.6231875
70,LA_T_1029184,bonafide,2.664375
71,LA_T_1029621,spoof,6.4015
72,LA_T_1029929,spoof,2.85125
73,LA_T_1030180,spoof,5.6569375
74,LA_T_1030482,spoof,3.3685
75,LA_T_1030559,spoof,2.733
76,LA_T_1030843,spoof,3.129375
77,LA_T_1031233,bonafide,3.8329375
78,LA_T_1031792,spoof,6.049375
79,LA_T_1032064,spoof,1.466625
80,LA_T_1032079,spoof,3.666125
81,LA_T_1032598,spoof,4.067875
82,LA_T_1033159,spoof,3.4331875
83,LA_T_1033197,spoof,4.5151875
84,LA_T_1033243,spoof,4.0084375
85,LA_T_1033465,spoof,2.8343125
86,LA_T_1033664,spoof,4.102
87,LA_T_1034027,spoof,3.2060625
88,LA_T_1034308,spoof,3.4975625
89,LA_T_1034356,spoof,2.9820625
90,LA_T_1034416,spoof,2.2425
91,LA_T_1034552,spoof,5.7828125
92,LA_T_1034923,bonafide,4.0496875
93,LA_T_1035039,spoof,3.5863125
94,LA_T_1035222,spoof,3.7539375
95,LA_T_1035981,spoof,4.989625
96,LA_T_1036415,spoof,3.74475
97,LA_T_1036683,spoof,2.0334375
98,LA_T_1036998,spoof,4.31125
99,LA_T_1037573,spoof,3.6129375
100,LA_T_1037774,spoof,4.186875
101,LA_T_1037807,spoof,2.02775
102,LA_T_1037879,spoof,4.14825
103,LA_T_1038078,spoof,2.818375
104,LA_T_1038101,spoof,4.0611875
105,LA_T_1038282,spoof,3.0700625
106,LA_T_1039087,spoof,2.6014375
107,LA_T_1039152,spoof,1.643
108,LA_T_1039167,spoof,1.5384375
109,LA_T_1039538,spoof,3.738875
110,LA_T_1039703,spoof,2.042875
111,LA_T_1040088,spoof,2.76975
112,LA_T_1040732,spoof,8.554375
113,LA_T_1041151,spoof,2.8100625
114,LA_T_1041400,spoof,2.298875
115,LA_T_1041465,spoof,1.29725
116,LA_T_1041717,bonafide,3.1534375
117,LA_T_1042175,spoof,7.3421875
118,LA_T_1042549,spoof,1.542
119,LA_T_1042958,spoof,3.10575
120,LA_T_1042969,spoof,1.6021875
121,LA_T_1042985,spoof,2.921375
122,LA_T_1043044,spoof,2.6064375
123,LA_T_1044167,spoof,1.1863125
124,LA_T_1044186,spoof,2.7350625
125,LA_T_1044202,spoof,2.476875
126,LA_T_1044344,spoof,3.28475
127,LA_T_1044512,spoof,1.68575
128,LA_T_1044749,spoof,3.632375
129,LA_T_1045294,bonafide,2.771875
130,LA_T_1045333,spoof,3.077375
131,LA_T_1045827,spoof,4.42425
132,LA_T_1045996,spoof,3.653875
133,LA_T_1046090,spoof,2.2774375
134,LA_T_1046563,spoof,1.5231875
135,LA_T_1047588,spoof,3.1953125
136,LA_T_1049021,bonafide,4.173375
137,LA_T_1049212,spoof,1.7444375
138,LA_T_1049794,spoof,3.1505625
139,LA_T_1049856,spoof,4.39425
140,LA_T_1050008,bonafide,2.55175
141,LA_T_1050944,spoof,3.670125
142,LA_T_1050952,spoof,2.690625
143,LA_T_1051161,spoof,3.853625
144,LA_T_1051226,spoof,10.33875
145,LA_T_1051229,spoof,2.099875
146,LA_T_1051754,spoof,2.1198125
147,LA_T_1051843,spoof,3.2695
148,LA_T_1052701,bonafide,1.5285
149,LA_T_1052790,bonafide,3.920125
150,LA_T_1053104,spoof,3.5350625
151,LA_T_1053141,spoof,2.726375
152,LA_T_1053692,spoof,4.1376875
153,LA_T_1054176,spoof,4.5889375
154,LA_T_1054204,spoof,2.594875
155,LA_T_1054206,spoof,2.974375
156,LA_T_1055109,spoof,6.594125
157,LA_T_1055655,spoof,2.16425
158,LA_T_1056013,spoof,3.2436875
159,LA_T_1056344,spoof,5.4155
160,LA_T_1056690,spoof,5.617125
161,LA_T_1056709,spoof,2.467
162,LA_T_1057046,spoof,3.79525
163,LA_T_1057453,spoof,4.9869375
164,LA_T_1057673,spoof,3.4879375
165,LA_T_1058915,spoof,2.097375
166,LA_T_1059252,spoof,2.9485
167,LA_T_1059324,spoof,3.795625
168,LA_T_1059937,spoof,1.71025
169,LA_T_1060413,spoof,2.7380625
170,LA_T_1060760,spoof,2.982625
171,LA_T_1060877,spoof,3.2713125
172,LA_T_1061562,spoof,2.6830625
173,LA_T_1061575,spoof,1.93825
174,LA_T_1062461,spoof,1.8705625
175,LA_T_1063619,spoof,7.5971875
176,LA_T_1064423,spoof,7.2044375
177,LA_T_1064484,spoof,3.2343125
178,LA_T_1064797,spoof,4.8523125
179,LA_T_1065455,spoof,2.2903125
180,LA_T_1065893,spoof,2.4204375
181,LA_T_1066145,spoof,3.454625
182,LA_T_1066374,spoof,2.005625
183,LA_T_1066444,spoof,3.1015625
184,LA_T_1067322,spoof,2.41775
185,LA_T_1067553,spoof,2.5119375
186,LA_T_1067682,spoof,2.512625
187,LA_T_1067825,spoof,2.7201875
188,LA_T_1068454,spoof,5.7735
189,LA_T_1068558,spoof,2.9718125
190,LA_T_1069045,spoof,1.953875
191,LA_T_1069321,spoof,1.369125
192,LA_T_1069388,spoof,8.0131875
193,LA_T_1069506,spoof,3.490125
194,LA_T_1070377,spoof,4.3544375
195,LA_T_1071120,spoof,3.5956875
196,LA_T_1071128,spoof,2.973125
197,LA_T_1071183,spoof,3.1375
198,LA_T_1072331,spoof,2.041875
199,LA_T_1072591,spoof,2.468
200,LA_T_1072646,spoof,3.5814375
201,LA_T_1073026,spoof,5.248125
202,LA_T_1074433,spoof,4.1411875
203,LA_T_1074765,spoof,5.8794375
204,LA_T_1075018,bonafide,3.065
205,LA_T_1075258,spoof,2.1679375
206,LA_T_1075302,bonafide,5.498375
207,LA_T_1075556,spoof,4.3186875
208,LA_T_1076032,spoof,3.3815625
209,LA_T_1076210,spoof,1.870875
210,LA_T_1076834,spoof,3.5745
211,LA_T_1076943,spoof,1.843125
212,LA_T_1077459,spoof,1.2715
213,LA_T_1077649,spoof,3.3711875
214,LA_T_1078395,bonafide,2.126375
215,LA_T_1078480,spoof,5.02625
216,LA_T_1078605,spoof,2.131
217,LA_T_1078877,spoof,4.6035625
218,LA_T_1078988,bonafide,5.07375
219,LA_T_1079079,spoof,1.8744375
220,LA_T_1079147,spoof,3.906
221,LA_T_1079418,spoof,4.706125
222,LA_T_1079836,spoof,1.930125
223,LA_T_1080623,bonafide,1.997375
224,LA_T_1081004,spoof,2.7291875
225,LA_T_1081350,spoof,2.398375
226,LA_T_1081570,spoof,2.5401875
227,LA_T_1081692,spoof,4.3155
228,LA_T_1081824,spoof,2.3825625
229,LA_T_1081925,spoof,1.818125
230,LA_T_1082540,spoof,3.3225625
231,LA_T_1083055,spoof,4.73125
232,LA_T_1083769,spoof,6.958125
233,LA_T_1083978,spoof,3.40825
234,LA_T_1084255,spoof,1.90775
235,LA_T_1085622,spoof,1.9746875
236,LA_T_1085646,spoof,3.332625
237,LA_T_1085704,spoof,3.3631875
238,LA_T_1085866,spoof,3.87175
239,LA_T_1085885,spoof,2.4196875
240,LA_T_1086559,spoof,2.3515625
241,LA_T_1087286,spoof,2.7104375
242,LA_T_1087556,spoof,3.341875
243,LA_T_1087609,spoof,2.044375
244,LA_T_1087632,spoof,4.3350625
245,LA_T_1087807,spoof,7.7615625
246,LA_T_1087973,bonafide,4.3910625
247,LA_T_1088154,spoof,4.733
248,LA_T_1088160,spoof,6.1333125
249,LA_T_1088332,spoof,3.371875
250,LA_T_1088656,spoof,5.4570625
251,LA_T_1090341,spoof,2.337
252,LA_T_1090563,spoof,3.8703125
253,LA_T_1090723,spoof,3.230625
254,LA_T_1090807,spoof,4.5638125
255,LA_T_1090966,spoof,6.01925
256,LA_T_1091140,spoof,2.9383125
257,LA_T_1091414,spoof,2.7264375
258,LA_T_1091653,bonafide,2.6396875
259,LA_T_1091875,spoof,3.296625
260,LA_T_1092005,spoof,1.75775
261,LA_T_1092563,spoof,6.8588125
262,LA_T_1093716,spoof,3.1248125
263,LA_T_1094085,spoof,3.99325
264,LA_T_1095031,spoof,1.7704375
265,LA_T_1095420,spoof,3.401625
266,LA_T_1095850,spoof,2.371375
267,LA_T_1096586,spoof,2.9805625
268,LA_T_1096613,spoof,1.385
269,LA_T_1097088,spoof,3.8950625
270,LA_T_1097440,spoof,1.2676875
271,LA_T_1097604,spoof,3.6574375
272,LA_T_1097864,spoof,2.4971875
273,LA_T_1098525,spoof,1.549625
274,LA_T_1098857,spoof,2.4595625
275,LA_T_1099214,spoof,3.6063125
276,LA_T_1099910,spoof,2.1363125
277,LA_T_1100114,spoof,1.6745625
278,LA_T_1100207,spoof,2.9303125
279,LA_T_1100628,spoof,2.7661875
280,LA_T_1101479,spoof,5.2879375
281,LA_T_1103057,spoof,4.1136875
282,LA_T_1103144,spoof,3.2638125
283,LA_T_1103401,spoof,2.708625
284,LA_T_1103630,spoof,3.629875
285,LA_T_1103710,spoof,2.9119375
286,LA_T_1103936,spoof,7.34775
287,LA_T_1107106,spoof,2.8556875
288,LA_T_1107524,spoof,6.56475
289,LA_T_1107565,spoof,5.76075
290,LA_T_1107670,spoof,5.323125
291,LA_T_1108020,spoof,1.793625
292,LA_T_1108702,spoof,1.9023125
293,LA_T_1108824,spoof,7.055375
294,LA_T_1108840,spoof,3.3636875
295,LA_T_1109145,spoof,3.6924375
296,LA_T_1109278,spoof,3.0153125
297,LA_T_1109462,spoof,2.725625
298,LA_T_1109788,spoof,3.485375
299,LA_T_1109955,spoof,2.637125
300,LA_T_1110572,spoof,2.968875
301,LA_T_1110673,spoof,1.2416875
302,LA_T_1110914,spoof,3.255
303,LA_T_1111107,spoof,1.9661875
304,LA_T_1111764,spoof,2.089125
305,LA_T_1113457,spoof,3.6411875
306,LA_T_1113931,spoof,2.126375
307,LA_T_1113976,spoof,2.825875
308,LA_T_1114442,spoof,3.87475
309,LA_T_1114980,bonafide,4.560875
310,LA_T_1115054,spoof,5.0974375
311,LA_T_1115237,spoof,1.8016875
312,LA_T_1116030,spoof,1.0680625
313,LA_T_1116175,spoof,1.879125
314,LA_T_1116187,spoof,3.4405625
315,LA_T_1116345,spoof,6.3014375
316,LA_T_1116382,spoof,4.9583125
317,LA_T_1117199,spoof,4.0109375
318,LA_T_1117664,spoof,4.6670625
319,LA_T_1119401,spoof,4.1146875
320,LA_T_1119555,spoof,1.2473125
321,LA_T_1119789,spoof,3.12575
322,LA_T_1119899,spoof,2.211625
323,LA_T_1120474,spoof,2.3460625
324,LA_T_1120592,spoof,3.6630625
325,LA_T_1120947,spoof,3.363875
326,LA_T_1121656,spoof,2.729375
327,LA_T_1121855,spoof,3.4650625
328,LA_T_1121974,spoof,3.6273125
329,LA_T_1122058,spoof,3.6443125
330,LA_T_1122769,spoof,4.39475
331,LA_T_1122961,spoof,2.4595625
332,LA_T_1123577,spoof,3.339875
333,LA_T_1124738,spoof,3.5334375
334,LA_T_1124839,spoof,5.6025625
335,LA_T_1125418,spoof,4.1065
336,LA_T_1126002,spoof,4.912125
337,LA_T_1126118,spoof,4.4815625
338,LA_T_1126222,bonafide,3.5371875
339,LA_T_1126227,spoof,1.617125
340,LA_T_1126698,spoof,3.6950625
341,LA_T_1127197,spoof,1.74475
342,LA_T_1128284,spoof,4.859625
343,LA_T_1128453,spoof,4.6711875
344,LA_T_1128464,spoof,3.02675
345,LA_T_1128865,bonafide,3.023875
346,LA_T_1129020,spoof,11.382625
347,LA_T_1129547,spoof,3.133
348,LA_T_1129923,spoof,6.9310625
349,LA_T_1130054,spoof,2.5369375
350,LA_T_1130076,spoof,4.52425
351,LA_T_1130675,spoof,2.8126875
352,LA_T_1130893,spoof,4.6078125
353,LA_T_1130924,bonafide,2.8950625
354,LA_T_1130943,bonafide,2.21675
355,LA_T_1131312,bonafide,2.3445625
356,LA_T_1131555,spoof,6.4304375
357,LA_T_1132062,spoof,5.8310625
358,LA_T_1132403,spoof,4.9163125
359,LA_T_1132475,spoof,2.5864375
360,LA_T_1133512,spoof,3.763875
361,LA_T_1133929,spoof,2.14475
362,LA_T_1134314,spoof,3.8810625
363,LA_T_1134598,spoof,3.3594375
364,LA_T_1134909,spoof,3.480375
365,LA_T_1134997,spoof,4.7254375
366,LA_T_1135747,spoof,3.9635625
367,LA_T_1136677,spoof,5.546
368,LA_T_1136756,spoof,2.5590625
369,LA_T_1137226,spoof,3.328
370,LA_T_1137533,spoof,4.3296875
371,LA_T_1137883,spoof,4.053
372,LA_T_1137942,spoof,2.2130625
373,LA_T_1138215,bonafide,3.4580625
374,LA_T_1138237,spoof,5.585
375,LA_T_1139785,spoof,3.7089375
376,LA_T_1140654,spoof,3.2181875
377,LA_T_1141342,bonafide,3.1095625
378,LA_T_1141725,spoof,2.5041875
379,LA_T_1142053,spoof,3.837625
380,LA_T_1142427,spoof,2.2506875
381,LA_T_1142757,bonafide,3.9635625
382,LA_T_1143756,spoof,2.0379375
383,LA_T_1145282,spoof,2.3843125
384,LA_T_1145741,spoof,5.4931875
385,LA_T_1146351,spoof,3.331375
386,LA_T_1146868,spoof,2.411125
387,LA_T_1146967,spoof,3.1789375
388,LA_T_1147364,spoof,3.4469375
389,LA_T_1147552,spoof,7.012375
390,LA_T_1147556,spoof,1.6438125
391,LA_T_1148129,spoof,3.534375
392,LA_T_1148175,spoof,5.6653125
393,LA_T_1148535,spoof,6.451
394,LA_T_1148654,spoof,3.520875
395,LA_T_1148844,spoof,2.1764375
396,LA_T_1148993,spoof,7.6004375
397,LA_T_1149087,spoof,5.9920625
398,LA_T_1149135,spoof,2.3436875
399,LA_T_1149145,spoof,2.5179375
400,LA_T_1149443,spoof,2.534625
401,LA_T_1150028,spoof,4.1828125
402,LA_T_1150653,spoof,4.423875
403,LA_T_1150787,spoof,3.0728125
404,LA_T_1150895,spoof,1.4788125
405,LA_T_1151332,bonafide,4.9026875
406,LA_T_1151489,spoof,1.539875
407,LA_T_1151825,spoof,3.533875
408,LA_T_1152016,spoof,2.9820625
409,LA_T_1152387,spoof,2.859875
410,LA_T_1152394,bonafide,3.58375
411,LA_T_1152870,spoof,2.8945625
412,LA_T_1153016,spoof,2.7595625
413,LA_T_1153198,spoof,3.239
414,LA_T_1153405,spoof,5.62175
415,LA_T_1153489,spoof,5.88375
416,LA_T_1153987,spoof,3.31375
417,LA_T_1154440,spoof,1.8816875
418,LA_T_1155093,spoof,6.24525
419,LA_T_1155184,spoof,3.6080625
420,LA_T_1156100,spoof,2.9968125
421,LA_T_1156513,spoof,2.341625
422,LA_T_1156774,spoof,4.515125
423,LA_T_1157103,spoof,3.8735
424,LA_T_1157756,spoof,4.7291875
425,LA_T_1158098,bonafide,5.8836875
426,LA_T_1158271,spoof,7.636125
427,LA_T_1158406,spoof,2.3411875
428,LA_T_1160090,bonafide,3.57775
429,LA_T_1160239,spoof,2.58525
430,LA_T_1161442,spoof,1.869
431,LA_T_1161445,spoof,3.9896875
432,LA_T_1161683,spoof,2.0348125
433,LA_T_1161711,bonafide,5.9685625
434,LA_T_1161788,spoof,3.669125
435,LA_T_1161958,spoof,3.0939375
436,LA_T_1162278,spoof,3.7116875
437,LA_T_1162361,spoof,4.041375
438,LA_T_1162877,spoof,3.5239375
439,LA_T_1162918,spoof,3.9185
440,LA_T_1163771,spoof,3.555
441,LA_T_1163956,spoof,4.1325625
442,LA_T_1163987,spoof,3.9839375
443,LA_T_1164518,spoof,3.9640625
444,LA_T_1164775,spoof,3.0265
445,LA_T_1165581,spoof,5.907875
446,LA_T_1165875,spoof,2.092625
447,LA_T_1166468,spoof,3.03575
448,LA_T_1167339,spoof,1.7261875
449,LA_T_1167346,spoof,2.816625
450,LA_T_1167616,spoof,2.3885
451,LA_T_1167878,spoof,3.6685625
452,LA_T_1167935,spoof,4.741
453,LA_T_1168059,spoof,3.1214375
454,LA_T_1168427,spoof,7.10225
455,LA_T_1168531,spoof,2.6368125
456,LA_T_1168781,spoof,2.4583125
457,LA_T_1171266,spoof,6.658625
458,LA_T_1171310,spoof,5.0124375
459,LA_T_1171346,spoof,4.2728125
460,LA_T_1172893,spoof,2.051
